NAME,DESCRIPTION,CATEGORY,IMAGE,IS FEATURED,CREATED AT,UPDATED AT,ATTRIBUTES
"DICLOFENAC DIETHYLAMINE 1.16% , LINSEED OIL 3.0% MENTHOL 0.5% METHYL SALICYLATE 10% GEL BASE.Q.S",None,BodyCare,"media/products/medicated/Bodycare/DICLOFENAC DIETHYLAMINE 1.16% , LINSEED OIL 3.0% MENTHOL 0.5% METHYL SALICYLATE 10% GEL BASE.Q.S.webp",True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Eberconazole IP 1% cream,None,BodyCare,media/products/medicated/Bodycare/Eberconazole IP 1% cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Fluocinolone Acetonide IP 0.01% lotion,None,BodyCare,media/products/medicated/Bodycare/Fluocinolone Acetonide IP 0.01% lotion.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Fusidic Acid I.P. 2.0% WW cream,None,BodyCare,media/products/medicated/Bodycare/Fusidic Acid I.P. 2.0% WW cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Fusidic Acid IP 2% cream,None,BodyCare,media/products/medicated/Bodycare/Fusidic Acid IP 2% cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Halobetasol Propionate 0.05%,None,BodyCare,media/products/medicated/Bodycare/Halobetasol Propionate 0.05%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Hydrocortisone Acetate 1%,None,BodyCare,media/products/medicated/Bodycare/Hydrocortisone Acetate 1%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
ketaconazole 2% Lotion,None,BodyCare,media/products/medicated/Bodycare/ketaconazole 2% Lotion.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Ketoconazole 2% Powder,None,BodyCare,media/products/medicated/Bodycare/Ketoconazole 2% Powder.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Luliconazole 1% cream,None,BodyCare,media/products/medicated/Bodycare/Luliconazole 1% cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Luliconazole 1% Lotion,None,BodyCare,media/products/medicated/Bodycare/Luliconazole 1% Lotion.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Mometasone Furoate IP 0.1%,None,BodyCare,media/products/medicated/Bodycare/Mometasone Furoate IP 0.1%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Monosulfiram 5% soap,None,BodyCare,media/products/medicated/Bodycare/Monosulfiram 5% soap.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Mupirocin IP 2%,None,BodyCare,media/products/medicated/Bodycare/Mupirocin IP 2%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Nadifloxacin Cream 1% cream,None,BodyCare,media/products/medicated/Bodycare/Nadifloxacin Cream 1% cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Oxiconazole Nitrate 1% cream,None,BodyCare,media/products/medicated/Bodycare/Oxiconazole Nitrate 1% cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Permethrin 1% Cetrimide IP 0.5% (1),None,BodyCare,media/products/medicated/Bodycare/Permethrin 1% Cetrimide IP 0.5% (1).webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Permethrin 1% Cetrimide IP 0.5%,None,BodyCare,media/products/medicated/Bodycare/Permethrin 1% Cetrimide IP 0.5%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Permethrin 5% cream,None,BodyCare,media/products/medicated/Bodycare/Permethrin 5% cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Povidone Iodide I.P 5.00% ww  (Available Iodine 0.5% wv)  Metronidazole 1.00% ww  Water Soluble Ointment Base Q.S,None,BodyCare,media/products/medicated/Bodycare/Povidone Iodide I.P 5.00% ww  (Available Iodine 0.5% wv)  Metronidazole 1.00% ww  Water Soluble Ointment Base Q.S.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Povidone Iodine IP 5% Ordinazole IP 1%,None,BodyCare,media/products/medicated/Bodycare/Povidone Iodine IP 5% Ordinazole IP 1%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Sertaconazole Nitrate BP 2%,None,BodyCare,media/products/medicated/Bodycare/Sertaconazole Nitrate BP 2%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Tacrolimus IP 0.1% ww Ointment,None,BodyCare,media/products/medicated/Bodycare/Tacrolimus IP 0.1% ww Ointment.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Terbinafine Hydrochloride IP 1% Benzyl Alcohol IP 1%,None,BodyCare,media/products/medicated/Bodycare/Terbinafine Hydrochloride IP 1% Benzyl Alcohol IP 1%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Tolnaftate IP 1%,None,BodyCare,media/products/medicated/Bodycare/Tolnaftate IP 1%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Urea IP 10% Lactic Acid IP 10% Propylene Glycol IP 10% Liquid Paraffin IP 10%,None,BodyCare,media/products/medicated/Bodycare/Urea IP 10% Lactic Acid IP 10% Propylene Glycol IP 10% Liquid Paraffin IP 10%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
